"Product ID","Classic ID","ID (6001-8000)","ID (10001-12000)","ID (12001-14000)","ID (14001-16000)","ID (16001-18000)","ID (18001-20000)","ID (20001-22000)","ID (22001-24000)","ID (24001-26000)"
"1169,11659,23660,25660,1674,13280,1675,17654,19297,23665,25662",1669,,11659,,,,,,23660,25660
"1306, 7306,23306, 25306",1306,7306,,,,,,,23306,25306
"1307, 7307,23307, 25307",1307,7307,,,,,,,23307,25307
"1308, 7308,23308, 25308",1308,7308,,,,,,,23308,25308
"1309, 7309,23309, 25309",1309,7309,,,,,,,23309,25309
"1310, 7310,23310, 25310",1310,7310,,,,,,,23310,25310
"1311, 7311,23311, 25311",1311,7311,,,,,,,23311,25311
"1312, 7312,23312, 25312",1312,7312,,,,,,,23312,25312
"1313, 7313,23313, 25313",1313,7313,,,,,,,23313,25313
"1314, 7314,23314, 25314",1314,7314,,,,,,,23314,25314
"1315, 7315,23315, 25315",1315,7315,,,,,,,23315,25315
"1316, 7316,23316, 25316",1316,7316,,,,,,,23316,25316
"1317, 7317,23317, 25317",1317,7317,,,,,,,23317,25317
"1318, 7318,23318, 25318",1318,7318,,,,,,,23318,25318
"1319, 7319,23319, 25319",1319,7319,,,,,,,23319,25319
"1320, 7320,23320, 25320",1320,7320,,,,,,,23320,25320
"1321, 7321,23321, 25321",1321,7321,,,,,,,23321,25321
"1322, 7322,23322, 25322",1322,7322,,,,,,,23322,25322
"1323, 7323,23323, 25323",1323,7323,,,,,,,23323,25323
"1324, 7324,23324, 25324",1324,7324,,,,,,,23324,25324
"1325, 7325,23325, 25325",1325,7325,,,,,,,23325,25325
"1326, 7326,23326, 25326",1326,7326,,,,,,,23326,25326
"1327, 7327,23327, 25327",1327,7327,,,,,,,23327,25327
"1328, 7328,23328, 25328",1328,7328,,,,,,,23328,25328
"1329, 7329,23329, 25329",1329,7329,,,,,,,23329,25329
"1330, 7330,23330, 25330",1330,7330,,,,,,,23330,25330
"1331, 7331,23331, 25331",1331,7331,,,,,,,23331,25331
"1332, 7332,23332, 25332",1332,7332,,,,,,,23332,25332
"1333, 7333,23333, 25333",1333,7333,,,,,,,23333,25333
"1334, 7334,23334, 25334",1334,7334,,,,,,,23334,25334
"1335, 7335,23335, 25335",1335,7335,,,,,,,23335,25335
"1336, 7336,23336, 25336",1336,7336,,,,,,,23336,25336
"1337, 7337,23337, 25337",1337,7337,,,,,,,23337,25337
"1338, 7338,23338, 25338",1338,7338,,,,,,,23338,25338
"1339, 7339,23339, 25339",1339,7339,,,,,,,23339,25339
"1340, 7340,23340, 25340",1340,7340,,,,,,,23340,25340
"13,22013",13,,,,,,,,22013,
"180,22180",180,,,,,,,,22180,
"181,22181",181,,,,,,,,22181,
"14,10014,16014,18014,22014,24014",14,,10014,,,16014,18014,,22014,24014
"182,10182,16182,18182,22182,24182",182,,10182,,,16182,18182,,22182,24182
"183,10183,16183,18183,22183,24183",183,,10183,,,16183,18183,,22183,24183
"184,22184,24184",184,,,,,,,,22184,24184
"185,10185,18185,22185, 24185",185,,10185,,,,18185,,22185,24185
"186,22186, 24186, 238,22238, 24238, 206,16206, 18206,  22206, 24206,  ",186,,,,,,,,22186,24186
"187,  10187,16187, 18187,  22187, 24187",187,,10187,,,16187,18187,,22187,24187
"188,  10188,16188, 18188,  22188, 24188",188,,10188,,,16188,18188,,22188,24188
"189,16189, 18189,  22189, 24189, 239,22239, 24239",189,,,,,16189,18189,,22189,24189
"190,  10190,18190,  22190, 24190, 1189,  11189,23189, 25189",190,,10190,,,,18190,,22190,24190
"191,  10191,18191,  22191, 24191, 1190,  11190,23190, 25190",191,,10191,,,,18191,,22191,24191
"192,  10192,18192,  22192, 24192, 1191,  11191,23191, 25191",192,,10192,,,,18192,,22192,24192
"193,10193,18193, 22193,24193,1192,11192,23192,25192,1665,19296,23659,25660",193,,10193,,,,18193,,22193,24193
"194,22194, 24194",194,,,,,,,,22194,24194
"195,22195, 24195",195,,,,,,,,22195,24195
"196,22196, 24196",196,,,,,,,,22196,24196
"15,16015, 18015,  22015, 24015",15,,,,,16015,18015,,22015,24015
"197,16197, 18197,  22197, 24197, 1082,13082,",197,,,,,16197,18197,,22197,24197
"198,16198, 18198,  22198, 24198, 1277,13277,",198,,,,,16198,18198,,22198,24198
"199,16199, 18199,  22199, 24199, 1278,13278,",199,,,,,16199,18199,,22199,24199
